date;state;cases;deaths;popData2018
2020-01-07;Thailand;0;0;69428524
2020-01-07;United_Arab_Emirates;0;0;9630959
2020-01-07;United_Kingdom;0;0;66488991
2020-01-07;United_States_of_America;0;0;327167434
2020-01-07;Vietnam;0;0;95540395
2020-01-08;Afghanistan;0;0;37172386
2020-01-08;Algeria;0;0;42228429
2020-01-08;Armenia;0;0;2951776
2020-01-08;Australia;0;0;24992369
2020-01-08;Austria;0;0;8847037
2020-01-08;Azerbaijan;0;0;9942334
2020-01-08;Bahrain;0;0;1569439
2020-01-08;Belarus;0;0;9485386
2020-01-08;Belgium;0;0;11422068
2020-01-08;Brazil;0;0;209469333
2020-01-08;Cambodia;0;0;16249798
2020-01-08;Canada;0;0;37058856
2020-01-08;Cases_on_an_international_conveyance_Japan;0;0;3000
2020-01-08;China;0;0;1392730000
2020-01-08;Croatia;0;0;4089400
2020-01-08;Czechia;0;0;10625695
2020-01-08;Denmark;0;0;5797446
2020-01-08;Dominican_Republic;0;0;10627165
2020-01-08;Ecuador;0;0;17084357
2020-01-08;Egypt;0;0;98423595
2020-01-08;Estonia;0;0;1320884
2020-01-08;Finland;0;0;5518050
2020-01-08;France;0;0;66987244
2020-01-08;Georgia;0;0;3731000
2020-01-08;Germany;0;0;82927922
2020-01-08;Greece;0;0;10727668
2020-01-08;Iceland;0;0;353574
2020-01-08;India;0;0;1352617328
2020-01-08;Indonesia;0;0;267663435
2020-01-08;Iran;0;0;81800269
2020-01-08;Iraq;0;0;38433600
2020-01-08;Ireland;0;0;4853506
2020-01-08;Israel;0;0;8883800
2020-01-08;Italy;0;0;60431283
2020-01-08;Japan;0;0;126529100
2020-01-08;Kuwait;0;0;4137309
2020-01-08;Lebanon;0;0;6848925
2020-01-08;Lithuania;0;0;2789533
2020-01-08;Luxembourg;0;0;607728
2020-01-08;Malaysia;0;0;31528585
2020-01-08;Mexico;0;0;126190788
2020-01-08;Monaco;0;0;38682
2020-01-08;Nepal;0;0;28087871
2020-01-08;Netherlands;0;0;17231017
2020-01-08;New_Zealand;0;0;4885500
2020-01-08;Nigeria;0;0;195874740
2020-01-08;North_Macedonia;0;0;2082958
2020-01-08;Norway;0;0;5314336
2020-01-08;Oman;0;0;4829483
2020-01-08;Pakistan;0;0;212215030
2020-01-08;Philippines;0;0;106651922
2020-01-08;Qatar;0;0;2781677
2020-01-08;Romania;0;0;19473936
2020-01-08;Russia;0;0;144478050
2020-01-08;San_Marino;0;0;33785
2020-01-08;Singapore;0;0;5638676
2020-01-08;South_Korea;0;0;51635256
2020-01-08;Spain;0;0;46723749
2020-01-08;Sri_Lanka;0;0;21670000
2020-01-08;Sweden;0;0;10183175
2020-01-08;Switzerland;0;0;8516543
2020-01-08;Taiwan;0;0;23780452
2020-01-08;Thailand;0;0;69428524
2020-01-08;United_Arab_Emirates;0;0;9630959
2020-01-08;United_Kingdom;0;0;66488991
2020-01-08;United_States_of_America;0;0;327167434
2020-01-08;Vietnam;0;0;95540395
2020-01-09;Afghanistan;0;0;37172386
2020-01-09;Algeria;0;0;42228429
2020-01-09;Armenia;0;0;2951776
2020-01-09;Australia;0;0;24992369
2020-01-09;Austria;0;0;8847037
2020-01-09;Azerbaijan;0;0;9942334
2020-01-09;Bahrain;0;0;1569439
2020-01-09;Belarus;0;0;9485386
2020-01-09;Belgium;0;0;11422068
2020-01-09;Brazil;0;0;209469333
2020-01-09;Cambodia;0;0;16249798
2020-01-09;Canada;0;0;37058856
2020-01-09;Cases_on_an_international_conveyance_Japan;0;0;3000
2020-01-09;China;0;0;1392730000
2020-01-09;Croatia;0;0;4089400
2020-01-09;Czechia;0;0;10625695
2020-01-09;Denmark;0;0;5797446
2020-01-09;Dominican_Republic;0;0;10627165
2020-01-09;Ecuador;0;0;17084357
2020-01-09;Egypt;0;0;98423595
2020-01-09;Estonia;0;0;1320884
2020-01-09;Finland;0;0;5518050
2020-01-09;France;0;0;66987244
2020-01-09;Georgia;0;0;3731000
2020-01-09;Germany;0;0;82927922
2020-01-09;Greece;0;0;10727668
2020-01-09;Iceland;0;0;353574
2020-01-09;India;0;0;1352617328
2020-01-09;Indonesia;0;0;267663435
2020-01-09;Iran;0;0;81800269
2020-01-09;Iraq;0;0;38433600
2020-01-09;Ireland;0;0;4853506
2020-01-09;Israel;0;0;8883800
2020-01-09;Italy;0;0;60431283
2020-01-09;Japan;0;0;126529100
2020-01-09;Kuwait;0;0;4137309
2020-01-09;Lebanon;0;0;6848925
2020-01-09;Lithuania;0;0;2789533
2020-01-09;Luxembourg;0;0;607728
2020-01-09;Malaysia;0;0;31528585
2020-01-09;Mexico;0;0;126190788
2020-01-09;Monaco;0;0;38682
2020-01-09;Nepal;0;0;28087871
2020-01-09;Netherlands;0;0;17231017
2020-01-09;New_Zealand;0;0;4885500
2020-01-09;Nigeria;0;0;195874740
2020-01-09;North_Macedonia;0;0;2082958
2020-01-09;Norway;0;0;5314336
2020-01-09;Oman;0;0;4829483
2020-01-09;Pakistan;0;0;212215030
2020-01-09;Philippines;0;0;106651922
2020-01-09;Qatar;0;0;2781677
2020-01-09;Romania;0;0;19473936
2020-01-09;Russia;0;0;144478050
2020-01-09;San_Marino;0;0;33785
2020-01-09;Singapore;0;0;5638676
2020-01-09;South_Korea;0;0;51635256
2020-01-09;Spain;0;0;46723749
2020-01-09;Sri_Lanka;0;0;21670000
2020-01-09;Sweden;0;0;10183175
2020-01-09;Switzerland;0;0;8516543
2020-01-09;Taiwan;0;0;23780452
2020-01-09;Thailand;0;0;69428524
2020-01-09;United_Arab_Emirates;0;0;9630959
2020-01-09;United_Kingdom;0;0;66488991
2020-01-09;United_States_of_America;0;0;327167434
2020-01-09;Vietnam;0;0;95540395
2020-01-10;Afghanistan;0;0;37172386
2020-01-10;Algeria;0;0;42228429
2020-01-10;Armenia;0;0;2951776
2020-01-10;Australia;0;0;24992369
2020-01-10;Austria;0;0;8847037
2020-01-10;Azerbaijan;0;0;9942334
2020-01-10;Bahrain;0;0;1569439
2020-01-10;Belarus;0;0;9485386
2020-01-10;Belgium;0;0;11422068
2020-01-10;Brazil;0;0;209469333
2020-01-10;Cambodia;0;0;16249798
2020-01-10;Canada;0;0;37058856
2020-01-10;Cases_on_an_international_conveyance_Japan;0;0;3000
2020-01-10;China;0;0;1392730000
2020-01-10;Croatia;0;0;4089400
2020-01-10;Czechia;0;0;10625695
2020-01-10;Denmark;0;0;5797446
2020-01-10;Dominican_Republic;0;0;10627165
2020-01-10;Ecuador;0;0;17084357
2020-01-10;Egypt;0;0;98423595
2020-01-10;Estonia;0;0;1320884
2020-01-10;Finland;0;0;5518050
2020-01-10;France;0;0;66987244
2020-01-10;Georgia;0;0;3731000
2020-01-10;Germany;0;0;82927922
2020-01-10;Greece;0;0;10727668
2020-01-10;Iceland;0;0;353574
2020-01-10;India;0;0;1352617328
2020-01-10;Indonesia;0;0;267663435
2020-01-10;Iran;0;0;81800269
2020-01-10;Iraq;0;0;38433600
2020-01-10;Ireland;0;0;4853506
2020-01-10;Israel;0;0;8883800
2020-01-10;Italy;0;0;60431283
2020-01-10;Japan;0;0;126529100
2020-01-10;Kuwait;0;0;4137309
2020-01-10;Lebanon;0;0;6848925
2020-01-10;Lithuania;0;0;2789533
2020-01-10;Luxembourg;0;0;607728
2020-01-10;Malaysia;0;0;31528585
2020-01-10;Mexico;0;0;126190788
2020-01-10;Monaco;0;0;38682
2020-01-10;Nepal;0;0;28087871
2020-01-10;Netherlands;0;0;17231017
2020-01-10;New_Zealand;0;0;4885500
2020-01-10;Nigeria;0;0;195874740
2020-01-10;North_Macedonia;0;0;2082958
2020-01-10;Norway;0;0;5314336
2020-01-10;Oman;0;0;4829483
2020-01-10;Pakistan;0;0;212215030
2020-01-10;Philippines;0;0;106651922
2020-01-10;Qatar;0;0;2781677
2020-01-10;Romania;0;0;19473936
2020-01-10;Russia;0;0;144478050
2020-01-10;San_Marino;0;0;33785
2020-01-10;Singapore;0;0;5638676
2020-01-10;South_Korea;0;0;51635256
2020-01-10;Spain;0;0;46723749
2020-01-10;Sri_Lanka;0;0;21670000
2020-01-10;Sweden;0;0;10183175
2020-01-10;Switzerland;0;0;8516543
2020-01-10;Taiwan;0;0;23780452
2020-01-10;Thailand;0;0;69428524
2020-01-10;United_Arab_Emirates;0;0;9630959
2020-01-10;United_Kingdom;0;0;66488991
2020-01-10;United_States_of_America;0;0;327167434
2020-01-10;Vietnam;0;0;95540395
2020-01-11;Afghanistan;0;0;37172386
2020-01-11;Algeria;0;0;42228429
2020-01-11;Armenia;0;0;2951776
2020-01-11;Australia;0;0;24992369
2020-01-11;Austria;0;0;8847037
2020-01-11;Azerbaijan;0;0;9942334
2020-01-11;Bahrain;0;0;1569439
2020-01-11;Belarus;0;0;9485386
2020-01-11;Belgium;0;0;11422068
